,弹幕
1,我擦，华妃哈哈哈哈h
2,一个熟人吧
3,自古红蓝出cp啊喂 太帅了
4,古娜拉黑暗之神呜呼啦黑魔变身
5,噗我笑了
6,金靖客串了吗？
7,古娜拉黑暗之神
8,没有九粒的金九粒（doge
9,潘周聃（doge）
10,前面谁说气纯的 你要笑死我哈哈哈哈哈
11,红激光以为要把阿泽头切两半了
12,哈哈哈哈哈哈，这方言猝不及防
13,古娜拉黑暗之神，乌漆麻黑，黑魔变身！！！
14,阿澤對自己有很正確的認知XD
15,经费爆炸
16,你们不要再打了啦！！！
17,哇哦~难道是情敌吗
18,古娜拉黑暗之神的你够了hhhhh
19,朝云：（委屈）可是她偷了我的伞 老婆还凶我
20,具体问题具体分析
21,王老吉笑死我了
22,我觉得女妖声音很可
23,啊啊啊这个姐姐好可爱！！！
24,你不要过来啊 （哈哈哈哈哈哈哈哈哈哈哈哈）
25,“别动，会死喔”（和蔼微笑）
26,卧槽，怎么还抿唇了。。。
27,哈哈哈哈哈哈哈哈哈哈哈妖神姐姐你搁东北来的吧
28,这反派真的可以
29,你们不要再打了啦！
30,这个能很灵性啊，哈哈哈
31,这个反派很有感觉呀 表情和配音妙
32,古娜拉黑暗之神！乌漆麻黑！让益达笑出强大！照耀光芒！？我在干什么
33,哈哈哈哈哈哈哈哈哈哈……古他那黑暗之神，黑魔仙变身!
34,姐姐我还以为你美瞳掉出来了
35,哈哈哈哈哈说修罗场那个笑死我了
36,看对谁
37,看对谁
38,呆子，不会
39,看对谁
40,是不是嗅到了情敌的味道哈哈
41,看对谁
42,看对谁
43,呆子，不会
44,看对谁
45,看对谁
46,呆子，不会
47,看对谁
48,看对谁
49,看对谁
50,聚聚+1
51,好美的下颚线呜呜呜
52,提听成三、吻我，还在回忆前二条是啥我开绯红之王了吗
53,哇塞第三眼要开了吗
54,………………好家伙我直呼好家伙！
55,好可爱的妖精就收了给我吧
56,老婆不可能外借 •᷄ࡇ•᷅ 
57,我纳戒里多的是。
58,只对老婆怜香惜玉啊
59,哈哈哈哈哈好可爱啊！！！
60,哈哈哈修罗场
61,这个姐姐眼睛蛮好看的诶！
62,好像金靖（
63,缘分是一场遥远的约定
64,气纯是吧（指指点点）
65,好久不见，甚是想念
66,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
67,这个表情好好笑
68,比我还野hhhhhh
69,莫辩如鲜肉
70,黑魔仙你不会心悸慌神的嘛？
71,哈哈哈哈哈哈笑死我了山东老乡
72,这个小姐姐好好看！
73,特效针不戳，好看又不抢镜
74,火之高兴，霜之哀伤
75,我怎么感觉这是在憋笑，哈哈哈
76,这是新副本咩？
77,古娜拉黑暗之神！呜呼啦呼！黑魔变身！
78,一听就和和那人很熟
79,哈哈哈哈哈哈
80,币给你，赞给你
81,修罗场
82,情敌？
83,来了来了，火起来
84,仙女打架真帅气
85,聚聚无处不在
86,哈哈哈哈哈，金靖，确实有点像
87,哈哈哈哈哈哈哈哈哈
88,修罗场？
89,nen？
90,哈哈哈哈哈哈哈好可爱
91,绝对修罗场
92,哈哈哈哈哈哈
93,自古红蓝出cp（？）
94,有点像小钱
95,来啦来啦
96,哈哈哈哈哈哈哈
97,红衣金靖（doge）
98,盲猜修罗场
99,金，金靖
100,这特效我给满分！
101,古娜拉黑暗之神
102,哇哇燃烧的经费
103,哈哈哈哈哈哈哈
104,我擦
105,现代朝云对贪食精老温柔了
106,经费在燃烧
107,好可爱哈哈哈
108,妖姐，假发要掉下来了！
109,噗小云云
110,豪华了
111,哈哈哈哈哈哈哈哈哈
112,你们不要在打了啦
113,O(∩_∩)O哈哈~她慌啦
114,太•﹏•
115,特效挺到位啊
116,小姐姐好像建模
117,哈哈哈哈哈
118,笑死了，比我还野
119,哈哈哈哈哈哈
120,催更！
121,有气场
122,哈哈哈哈哈哈
123,经费爆炸
124,一整个呆住
125,两个小时！我出息了
126,修罗场是吧
127,哈哈哈哈哈哈哈哈哈
128,聚聚+1
129,金靖！哈哈哈哈哈哈
130,潘周丹技术指导。
131,金靖？？？
132,老吉好帅
133,哈哈哈哈哈哈
134,开朗的女主好像刘诗诗啊
135,古娜拉黑暗之神！
136,哈哈哈哈哈
137,哈哈哈哈哈哈哈哈哈哈
138,特效好看
139,哈哈哈哈哈哈哈哈哈
140,还闪现？
141,哈哈哈哈哈哈哈哈哈
142,看对谁
143,朝云被破防了
144,哦吼
145,哈哈哈好可爱
146,金婧！是你吗
147,好像金婧
148,大boss
149,忍不住笑了
150,幻术啊
151,前任來了
152,真就。。电动小野马
153,哈哈哈哈哈哈
154,这个挑眉
155,3小时
156,这个肉好好可爱
157,姐姐太美必须火
158,好早
159,好帥好帥
160,哈哈哈
161,金靖？
162,哈哈哈
163,盲猜朝云妈
164,我也想吃
165,42个小伙伴
166,哈哈
167,这个情敌不好看呜呜呜呜
168,前女友啊
169,[Ohhhhhhhhhhhhhhhh]
170,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
171,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
172,3 还我 
173,野啊宝贝
174,哈哈哈
175,我喜欢这姐姐，她是sui呀
176,好帅
177,恁死  接地气 
178,朝云祖传吐血从这里开始
179,好可爱
180,为什么不偷人，反而偷伞呢？法宝不都放身上的吗
181,这个掉头，蛇妖吗
182,抿嘴，是在想怎么拒绝？还是考虑要不要答应!!
183,潘周聃
184,我好兴奋怎么回事
185,我发现在现代篇里朝云活成了阿泽样子
186,窑鸡吗？看着好香
187,你也没给人机会拒绝呀
188,坏了，拉低了
189,窑鸡吗哈哈哈哈哈哈想吃
190,大家别误会这不是情敌是姐姐
191,我老姐
192,是你，思南
193,请收下我的膝盖
194,这个眼线画的太可怕了
195,我去
196,妖怪是唐元七？
197,她不是妖王吗
198,这妖北方的啊。
199,这就是现在的电影打斗模式，大话西游回合制
200,这些配角一个个要么颜值在线要么可可爱爱，主角就更不用说了，简直太爱了
201,华妃
202,为什么有种大唐双龙传的既视感。。？
203,前女友
204,哪里弄的
205,看看背后，算了算了。狗命要紧
206,贪食精：哎？！感觉有杀气。。。
207,坏的狠
208,卧槽
209,这咋还野上了？
210,自古对波左边输
211,这个小美女的怎么和滑稽一模一样
212,乾字，障眼法:百花缭乱
213,好可爱
214,咋办，我也回不去了
215,杀我吧姐姐
216,这配音……上头了╯▂╰
217,东北妖
218,僚机来了
219,吉吉每次都被打吐血，下一部支棱起来天下无敌那种可好
220,这不比马破苍穹好？
221,收个租吧
222,妖也是妖他妈生的啊
223,怎么一股被玩坏了的表情？
224,滑稽表情
225,这就是贪食精吗
226,自♂由
227,姐姐，她有对象了，我来吧
228,姐姐，我也挺好玩的，玩儿我吧
229,这个台词蚌埠住了
230,完了，你们一句古娜拉黑暗之神我回不去了！
231,前面的你怎么发语音啊？
232,美人如云
233,女胖胖（bushi）
234,小云云
235,黑魔仙你带走她吧，我独占朝云姐姐也可以/doge
236,“我又不是呆子”
237,什么什么什么就你的小云云了 说清楚你！
238,杰姐不要
239,杰哥不要啊
240,neng死救命啊笑死我了怎么还带口音呢
241,摔了个屁墩儿哈哈哈可爱
242,都是精华
243,偷吃被抓包哈哈哈哈
244,这里竟是女同宇宙
245,坏ying
246,吃的白胖白胖的
247,我就想知道什么时候更新
248,死鬼小吉
249,死吉妹
250,勾搭吉妹吗？
251,姐姐能不能注意一下你的发型。。。。
252,我以为视频有八分钟呢
253,两女子为争一妹大打出手
254,眼睛有点可怕啊
255,恁s哈哈哈
256,口型配音没对上。。。
257,吉娃，吉娃
258,仗着自己妖刀高深，欺负吉妹
259,面瘫吉
260,我破防了，这是迄今为止我见过最吐痰的吐血。。。。。
261,妖的机位角度也太奇怪了吧，感觉故意拍丑了
262,坏人
263,这血吐的不走心啊？
264,一本正经的端着
265,但愿吉妹没看到我说她面瘫
266,吉妹的演技还得提高
267,就我一个人主要那个妖精眼睛很奇怪吗，哪个是特效还是带的美瞳，好奇怪，好出戏。
268,姐 你扣发型师钱了？
269,牛
270,笑喇了阿姨好色
271,吉妹是个面瘫啊
272,朝云：你要弄死谁？？？
273,小姐姐，我有点看上你了，你把你借我玩好不好
274,三个小时，应该还热乎
275,are you crazy？
276,还以为是黑山老妖
277,剧情可以，就是女妖不够美
278, 还小云云
279,这个姐姐有种腹黑病娇的感觉，刚好戳中我的xp呜呜呜
280,前女友？
281,累了困了就喝王老吉
282,差点以为这姑娘没脖子
283,好腹黑
284,玩玩
285,恁
286,小云云
287,媳妇不外借
288,好可爱
289,妖没有底线所以称之妖  朝云却不用
290,还要弄死人家媳妇，过分了
291,这姐姐可真够野的
292,情敌
293,好美
294,我来了
295,朝云这口血吐的痛快！
296,这特效，这反派的演技，真的吊打电视剧里
297,人家主角光环！你弄不死。哈哈
298,你打别人媳妇的主意，人家能不紧张吗
299,走可以把鸡留下
