,词语,次数
0,擦,7
1,华,4
2,妃,5
3,哈哈,1929
4,哈哈哈,1533
5,哈哈哈哈,1160
6,h,11
7,一个,39
8,熟人,2
9,吧,110
10,自古,10
11,红蓝,7
12,出,23
13,cp,5
14,啊,287
15,喂,3
16, ,191
17,太帅,5
18,古,27
19,娜拉,19
20,黑暗,22
21,之,41
22,神,36
23,呜呼,4
24,呼啦,4
25,黑,26
26,魔,10
27,变身,15
28,噗,10
29,笑,102
30,金,26
31,靖,16
32,客串,3
33,吗,136
34,没有,32
35,九粒,4
36,doge,31
37,潘,6
38,周,6
39,聃,4
40,前面,44
41,谁,42
42,说,45
43,气,9
44,纯,6
45,你,295
46,要,63
47,死,87
48,红,7
49,激光,2
50,以为,21
51,把,16
52,阿,109
53,泽,98
54,头,10
55,切,7
56,两半,2
57,这方,3
58,方言,4
59,猝不及防,6
60,不及,9
61,防,12
62,乌,4
63,漆,4
64,麻,8
65,！！！,57
66,澤,7
67,對,3
68,自己,18
69,有,91
70,很,65
71,正,2
72,確,2
73,認,3
74,知,2
75,XD,2
76,经费,9
77,爆炸,4
78,你们,23
79,不要,30
80,再,12
81,打,28
82,啦,46
83,哇,29
84,哦,36
85,难道,6
86,是,394
87,情敌,12
88,够,5
89,hhhhh,3
90,朝,66
91,云,73
92,：（,2
93,委屈,2
94,可是,5
95,她,132
96,偷,4
97,伞,8
98,老婆,37
99,还,66
100,凶,3
101,具体,4
102,问题,11
103,具体分析,2
104,分析,2
105,王老吉,17
106,觉得,16
107,女妖,4
108,声音,7
109,可,18
110,啊啊啊,220
111,这个,125
112,姐姐,117
113,好,257
114,可爱,59
115,过来,7
116,别动,2
117,会,30
118,喔,4
119,”（,2
120,和蔼,2
121,微笑,4
122,卧槽,29
123,怎么,60
124,抿,2
125,唇,2
126,。。。,17
127,妖,48
128,搁,2
129,东北,6
130,北来,2
131,这,246
132,反派,8
133,真的,38
134,可以,43
135,能,29
136,灵性,3
137,有感,5
138,感觉,34
139,呀,36
140,表情,14
141,和,17
142,配音,9
143,妙,4
144,让,19
145,益,2
146,达,2
147,强大,2
148,照耀,2
149,光芒,2
150,！？,2
151,在,73
152,干什么,4
153,什么,91
154,他,39
155,那,37
156,魔仙,7
157,还以,7
158,美,32
159,瞳,4
160,掉,4
161,出来,18
162,修罗,14
163,修罗场,14
164,那个,36
165,看,99
166,对,52
167,呆子,8
168,不会,22
169,是不是,17
170,不是,59
171,嗅到,2
172,味道,6
173,聚聚,37
174,1,15
175,美的,2
176,下颚,2
177,线,7
178,呜呜,35
179,提,3
180,听成,3
181,三,11
182,吻,2
183,回忆,2
184,前,7
185,二条,2
186,啥,24
187,开,10
188,绯红,2
189,王,7
190,哇塞,10
191,第三,2
192,第三眼,2
193,三眼,2
194,………………,2
195,好家伙,20
196,家伙,22
197,直呼,5
198,妖精,5
199,就,83
200,收,12
201,给,51
202,不可,5
203,可能,11
204,外借,4
205,•᷄ࡇ•᷅,2
206,纳,7
207,戒,8
